股票代號,股票名稱,紀念品,股價,市場別,最後買進日
2313,華通,南僑清潔用品,83,上市,3/26/25
8033,雷虎,抗菌洗手露,136.5,上市,4/16/25
1309,台達化,USii優系高效鎖鮮袋,11.6,上市,3/26/25
3059,華晶科,方型玻璃沙拉碗,41.65,上市,4/16/25
1721,三晃,統一商品卡50元,11.25,上市,4/9/25
3036,文曄,統一商品卡50元,150.5,上市,3/26/25
1711,永光,慕斯洗手乳,18.05,上市,3/28/25
4108,懷特,清潔品,13.9,上市,3/31/25
1310,台苯,甲魚全沛全方位維他命,8.85,上市,3/26/25
1217,愛之味,愛之味咖哩豆腐2罐,10.45,上市,4/23/25
1589,永冠-KY,全家禮物卡50元,17.25,上市,3/26/25
1707,葡萄王,葡萄王靈芝巴西菇菌絲體益菌複方膠囊50粒/瓶,127,上市,3/25/25
1714,和桐,全家禮物卡50元,8.37,上市,3/26/25
2102,泰豐,統一商品卡50元,20.15,上市,5/27/25
1909,榮成,環保杯,10.7,上市,3/26/25
2887,台新新光金,精緻密封調味罐,19.25,上市,4/22/25
2020,美亞,全家禮物卡50元,23,上市,3/26/25
2022,聚亨,保溫保冷袋,8.21,上市,3/27/25
2002,中鋼,輕巧冷水瓶,18.35,上市,4/16/25
2891,中信金,護眼愛地球可調光檯燈,45.05,上市,4/10/25
2399,映泰,南僑水晶肥皂食器洗滌液体,25.4,上市,4/17/25
6426,統新,修容組,88.7,上市,4/22/25
9958,世紀鋼,竪紋方口玻璃碗,139,上市,3/25/25
3038,全台,玻璃碗,20.35,上市,3/26/25
1722,台肥,胺基酸深層潔顏慕斯+玻尿酸保濕潤澤化妝水禮盒,47.05,上市,4/9/25
2024,志聯,統一商品卡35元,15.6,上市,3/26/25
2489,瑞軒,充電式磁吸感應燈,14.65,上市,3/19/25
2379,瑞昱,全家禮物卡88元,532,上市,3/26/25
2611,志信,統一商品卡35元,15,上市,4/17/25
6531,愛普*,統一商品卡50元,405,上市,2/25/25
2458,義隆,統一商品卡35元,128,上市,3/26/25
3011,今皓,全家禮物卡35元,13.7,上市,4/29/25
3041,揚智,Luminarc繁花強化餐盤,24.95,上市,4/29/25
2612,中航,統一商品卡50元,62.9,上市,3/26/25
2616,山隆,春風抽取式衛生紙一串,13.9,上市,4/16/25
3018,隆銘綠能,統一商品卡50元,11.5,上市,5/14/25
3026,禾伸堂,手機支架,104.5,上市,3/26/25
1718,中纖,機能性食品一份,6.9,上市,4/9/25
1312,國喬,掌廚可樂膳304不鏽鋼分隔防燙保鮮盒,11.75,上市,4/17/25
3094,聯傑,保冷袋,24.25,上市,3/26/25
1225,福懋油,統一商品卡100元,30.05,上市,4/23/25
9963,台電,運動涼感毛巾,,上市,4/24/25
3593,力銘,統一商品卡50元,8.1,上市,3/19/25
2888,新光金,斜背兩用加底帆布袋,11.8,上市,4/22/25
3591,艾笛森,超商商品卡,18.3,上市,3/26/25
3593,力銘,統一商品卡35元,8.1,上市,4/24/25
3592,瑞鼎,統一商品卡50元,221.5,上市,3/26/25
1786,科妍,統一商品卡35元,75.9,上市,4/24/25
3481,群創,台灣產製真空包裝白米1公斤,13.5,上市,3/5/25
2911,麗嬰房,嬰兒柔護濕巾20抽/單包,4.7,上市,4/24/25
3702,大聯大,全家便利商店50元禮券,63.2,上市,3/26/25
2601,益航,妙管家手提玻璃晶靓杯,5.61,上市,4/10/25
1314,中石化,統一商品卡100元,7.81,上市,3/12/25
