股票代號,股票名稱,產業,股價,紀念品,最後買進日,現金股利,合計股利,殖利率(%),除息日,發放日
3264,欣銓,半導體業,113.50,精修螺絲起子組,3/26/25,4.00,4.00,5.26,'25/06/24,'25/07/18
2891,中信金,金控業,50.20,護眼愛地球可調光檯燈,4/10/25,2.30,2.30,5.25,'25/07/14,'25/08/08
3034,聯詠,半導體業,374.50,統一商品卡50元,3/26/25,28.00,28.00,5.24,'25/07/09,'25/08/08
3556,禾瑞亞,半導體業,36.90,統一商品卡35元,3/26/25,2.08,2.08,5.23,'25/06/13,'25/07/11
3038,全台,光電業,23.35,玻璃碗,3/26/25,1.50,1.50,5.21,'25/03/27,'25/04/18
5706,鳳凰,觀光餐旅,50.60,鳳凰旅遊證件收納袋,3/31/25,2.75,3.25,5.15,'25/07/07,'25/08/11
4173,久裕,生技醫療業,21.05,面膜,4/16/25,1.19,1.19,5.14,'25/04/17,'25/05/16
3306,鼎天,通信網路業,49.85,Give U指甲剪刨光套組,4/9/25,2.10,2.10,5.13,'25/07/28,'25/08/15
6275,元山,電子零組件業,53.00,濕紙巾(紀念品數量不足時，將提供等值商品),3/26/25,2.26,2.26,5.09,'25/08/05,'25/09/01
6257,矽格,半導體業,115.00,統一商品卡50元,3/26/25,4.04,4.04,5.07,'25/07/08,'25/07/25
8039,台虹,電子零組件業,86.60,統一商品卡35元,3/26/25,2.50,2.50,5.07,'25/07/17,'25/08/07
8240,華宏,光電業,37.50,全家禮物卡50元,3/25/25,1.60,1.60,5.07,'25/06/27,'25/07/25
3402,漢科,其他電子業,122.50,洗手乳,4/16/25,5.00,5.00,5.05,'25/07/24,'25/08/22
3537,堡達,電子零組件業,50.00,全家禮物卡35元,4/23/25,2.30,2.30,5.04,'25/07/29,'25/08/22
6239,力成,半導體業,175.00,統一商品卡50元,3/26/25,7.00,7.00,5.04,'25/07/31,'25/09/05
