代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3432,台端,12/30,13.7,-0.2,-1.44,2025,年,0,0,0,,0,,0,0,,,
3484,崧騰,12/30,47.7,-0.05,-0.1,2025,年,2.444,0,2.444,54.2,4.51,,0,4.51,'25/09/08,,'25/10/03
3492,長盛,12/30,25.85,-0.35,-1.34,2025,年,1,0,1,23.5,4.26,,0,4.26,'25/07/16,,'25/08/15
3501,維熹,12/30,48.7,-0.05,-0.1,2025,年,4,0,4,58.8,6.8,,0,6.8,'25/07/31,,'25/08/27
3511,矽瑪,12/30,20.7,-0.3,-1.43,2025,年,0,0,0,,0,,0,0,,,
3520,華盈,12/30,16.55,-0.05,-0.3,2025,年,0.1,0,0.1,14.05,0.71,,0,0.71,'25/08/01,,'25/08/29
3526,凡甲,12/30,243.5,-0.5,-0.2,2025,年,16.46,0,16.46,239,6.89,,0,6.89,'25/04/11,,'25/05/08
3533,嘉澤,12/30,1290,-5,-0.39,2025,年,41.72,0,41.72,1470,2.84,,0,2.84,'25/07/31,,'25/08/29
3537,堡達,12/30,50,-0.7,-1.38,2025,年,2.3,0,2.3,45.6,5.04,,0,5.04,'25/07/29,,'25/08/22
3548,兆利,12/30,90.5,-1.6,-1.74,2025,年,2,0.25,2.25,115.5,1.73,115.5,0.22,1.95,'25/09/05,'25/09/05,'25/10/09
3550,聯穎,12/30,15.75,+1.4,+9.76,2025,年,0,0,0,,0,,0,0,,,
3593,力銘,12/30,12.85,+0.1,+0.78,2025,年,0,0,0,,0,,0,0,,,
3597,映興,12/30,25.6,0,0,2025,年,0.85,0,0.85,25.6,3.32,,0,3.32,'25/06/19,,'25/07/18
3605,宏致,12/30,58.9,-0.7,-1.17,2025,年,0.721,0,0.721,73.2,0.98,,0,0.98,'25/09/04,,'25/09/24
3607,谷崧,12/30,14.6,-0.2,-1.35,2025,年,0.7,0,0.7,14.85,4.71,,0,4.71,'25/07/14,,'25/08/07
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
3609,三一東林,12/30,41.6,-0.25,-0.6,2025,年,0,0,0,,0,,0,0,,,
3624,光頡,12/30,53.1,+1.1,+2.12,2025,年,1.23,0,1.23,32.2,3.82,,0,3.82,'25/07/16,,'25/08/15
3631,晟楠,12/30,23.45,-0.05,-0.21,2025,年,0,0,0,,0,,0,0,,,
3645,達邁,12/30,52.7,-0.4,-0.75,2025,年,1.195,0,1.195,57.9,2.06,,0,2.06,'25/07/14,,'25/08/08
3646,艾恩特,12/30,24.4,0,0,2025,年,1.65,0,1.65,29.4,5.61,,0,5.61,'25/08/26,,'25/09/24
3653,健策,12/30,2760,+35,+1.28,2025,年,14.5,0,14.5,1485,0.98,,0,0.98,'25/07/17,,'25/08/18
3679,新至陞,12/30,114,-0.5,-0.44,2025,年,10,0,10,144.5,6.92,,0,6.92,'25/06/12,,'25/07/09
3689,湧德,12/30,114,+1.5,+1.33,2025,年,2.922,0,2.922,98.4,2.97,,0,2.97,'25/08/01,,'25/08/28
3710,連展投控,12/30,5.9,-0.04,-0.67,2025,年,0,0,0,,0,,0,0,,,
3715,定穎投控,12/30,121,+1.5,+1.26,2025,年,1.5,0,1.5,44.9,3.34,,0,3.34,'25/05/27,,'25/06/23
4542,科嶠,12/30,89,-4.8,-5.12,2025,年,0.999,0,0.999,62.3,1.6,,0,1.6,'25/04/09,,'25/05/13
4545,銘鈺,12/30,39.35,+0.85,+2.21,2025,年,1.65,0,1.65,32.5,5.08,,0,5.08,'25/06/24,,'25/07/17
4912,聯德控股-KY,12/30,89.7,+1.7,+1.93,2025,季,0.93,0.5,1.43,83.8,1.16,89.7,0.56,1.71,'25/12/23,,'26/01/22
4915,致伸,12/30,76.5,-0.3,-0.39,2025,年,4.201,0,4.201,79,5.32,,0,5.32,'25/06/19,,'25/07/18
4927,泰鼎-KY,12/30,31.85,-1.4,-4.21,2025,年,0,0,0,,0,,0,0,,,
4939,亞電,12/30,38.05,-0.95,-2.44,2025,年,0.5,0,0.5,19.6,2.55,,0,2.55,'25/06/10,,'25/07/11
4943,康控-KY,12/30,12.45,+0.45,+3.75,2025,年,0,0,0,,0,,0,0,,,
4958,臻鼎-KY,12/30,141,-2,-1.4,2025,年,4.8,0,4.8,107,4.49,,0,4.49,'25/06/12,,'25/07/16
代號,名稱,股價 日期,成交,漲跌 價,漲跌 幅,股利 發放 年度,股利 發放 頻率,現金 股利,股票 股利,合計 股利,除息 價,除息價 現金 殖利率,除權 價,除權價 股票 殖利率,除權息 合計 殖利率,除息 交易日,除權 交易日,現金 股利 發放日
4974,亞泰,12/30,69.6,-2,-2.79,2025,年,5.45,0,5.45,91.8,5.94,,0,5.94,'25/06/17,,'25/07/11
4989,榮科,12/30,51.3,-1.2,-2.29,2026,季,0,0,0,,0,,,0,,,
4999,鑫禾,12/30,23.25,0,0,2025,年,1,0,1,24.5,4.08,,0,4.08,'25/07/10,,'25/08/07
5227,立凱-KY,12/30,24.9,-0.05,-0.2,2025,年,0,0,0,,0,,0,0,,,
5228,鈺鎧,12/30,18.05,-0.3,-1.63,2025,年,0,0,0,,0,,0,0,,,
5291,邑昇,12/30,26.95,-0.15,-0.55,2025,年,0,0,0,,0,,0,0,,,
5309,系統電,12/30,69.6,+1.3,+1.9,2025,年,0.701,0,0.701,33.95,2.06,,0,2.06,'25/06/04,,'25/06/27
5328,華容,12/30,20.85,+0.15,+0.72,2025,年,0.6,0,0.6,14.1,4.26,,0,4.26,'25/09/09,,'25/10/07
5340,建榮,12/30,70.5,-3.3,-4.47,2025,年,0.2,0,0.2,43,0.47,,0,0.47,'25/06/18,,'25/07/15
5355,佳總,12/30,7.32,-0.08,-1.08,2025,年,0,0,0,,0,,0,0,,,
